"Onderwijs; uitgaven aan onderwijs en CBS/OESO indicatoren"
"Onderwijssectoren";"Secundair onderwijs";"Secundair onderwijs";"Secundair onderwijs";"Secundair onderwijs";"Secundair onderwijs";"Secundair onderwijs";"Tertiair onderwijs";"Tertiair onderwijs";"Tertiair onderwijs";"Tertiair onderwijs";"Tertiair onderwijs";"Tertiair onderwijs"
"Onderwerpen";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs";"Uitgaven aan onderwijs"
"Onderwerpen";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid";"Overheid"
"Onderwerpen";"Subsidie- en fiscale regelingen";"Subsidie- en fiscale regelingen";"Subsidie- en fiscale regelingen";"Ontvangsten";"Ontvangsten";"Ontvangsten";"Subsidie- en fiscale regelingen";"Subsidie- en fiscale regelingen";"Subsidie- en fiscale regelingen";"Ontvangsten";"Ontvangsten";"Ontvangsten"
"Onderwerpen";"Tegemoetkoming schoolkosten";"Studiefinanciering, giften";"Studiefinanciering, leningen";"Terugontvangen studiefinanciering en ...";"Rente op studieleningen";"Aflossingen op studieleningen";"Tegemoetkoming schoolkosten";"Studiefinanciering, giften";"Studiefinanciering, leningen";"Terugontvangen studiefinanciering en ...";"Rente op studieleningen";"Aflossingen op studieleningen"
"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"1995";"225";"481";"39";".";".";".";" ";"998";"173";"99";"76";"100"
"1996";"226";"516";"52";".";".";".";" ";"891";"236";"93";"66";"100"
"1997";"205";"602";"23";".";".";".";" ";"781";"386";"129";"130";"110"
"1998";"193";"670";"34";".";".";".";" ";"505";"618";"117";"104";"127"
"1999";"218";"625";"24";".";".";".";" ";"572";"635";"114";"96";"125"
"2000";"284";"687";"30";"13";".";".";" ";"617";"799";"131";"106";"123"
"2001";"326";"564";"91";"14";".";".";" ";"613";"724";"118";"87";"127"
"2002";"340";"449";"97";"12";".";".";" ";"479";"787";"97";"102";"134"
"2003";"347";"574";"123";"10";".";".";" ";"769";"869";"103";"104";"150"
"2004";"386";"729";"80";"13";".";".";" ";"807";"985";"109";"106";"158"
"2005";"268";"738";"108";"18";".";".";" ";"857";"1082";"74";"107";"172"
"2006";"269";"863";"247";"11";".";".";" ";"994";"1396";"43";"114";"185"
"2007";"268";"503";"475";"16";".";".";" ";"734";"1477";"62";"123";"213"
"2008";"554";"681";"411";"17";".";".";" ";"1060";"1551";"77";"146";"252"
"2009";"145";"694";"332";"15";".";".";" ";"984";"1531";"69";"177";"297"
"2010";"100";"837";"215";"13";"21";"34";" ";"1021";"1625";"69";"186";"320"
"2011";"97";"882";"187";"15";"44";"70";" ";"1354";"1620";"62";"184";"304"
"2012";"93";"835";"189";"4";"46";"74";" ";"973";"1697";"77";"178";"321"
"2013";"84";"878";"240";"30";"42";"86";" ";"1210";"1700";"80";"163";"341"
"2014";"82";"1075";"254";"25";"32";"86";" ";"1448";"1953";"75";"146";"391"
"2015*";"72";"880";"243";"20";"18";"62";" ";"1016";"2101";"76";"129";"464"
"ï¿½ Centraal Bureau voor de Statistiek, Den Haag/Heerlen 11-10-2017"
